Id,Petro,dalma,Heber,Platy,Ponde,Plect,Rafin,strop,Zygos,bifol,Const,Cuffe,encru,Escha,fenes,massi,Parvo,ramos,thinr,Ambon,bival,Carit,modio,belle,Cyclo,gastr,Lopho,nauti,Cornu,calym,Cerau,Isote,odont,Cinci,crino,Ecten,Glycr,Ptych
2D058,0,0,6,0,4,0,2,1,0,5,24,0,1,0,0,0,2,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2D059,0,0,6,2,2,0,1,0,0,0,9,0,2,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2D060,0,0,4,0,0,0,2,0,7,12,6,0,0,0,0,0,13,37,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
2D061,0,0,4,0,1,0,2,0,0,0,0,0,3,0,0,0,0,19,7,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
2D062,0,0,2,6,0,0,9,0,11,5,1,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2D063,0,0,2,1,0,0,12,0,6,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2D064,0,0,0,1,0,0,5,0,42,0,0,0,0,0,0,1,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2D065,0,9,0,1,0,0,17,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2D066,0,0,0,0,0,0,33,0,11,1,0,0,0,0,0,0,0,6,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2D067,0,3,1,2,0,0,41,0,3,0,0,0,0,0,0,0,1,12,0,3,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
2D068,0,1,0,0,0,0,34,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2D069,0,0,0,0,0,0,6,0,14,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
2D070,0,0,0,1,0,0,3,0,16,0,0,0,1,0,0,0,0,11,8,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2D071,0,1,0,0,0,0,14,0,8,3,0,0,1,0,0,0,0,11,3,7,0,0,4,0,0,0,24,0,0,1,0,0,0,0,0,0,0,0
2D072,0,0,0,0,0,0,20,0,1,0,0,0,0,0,0,0,10,0,10,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0
2D073,0,3,0,1,0,0,11,0,5,0,0,0,0,0,0,0,4,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2D074,0,4,1,1,0,0,12,0,11,0,0,0,0,0,0,0,0,13,17,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2D075,0,1,0,1,0,0,6,0,253,0,0,0,1,0,0,0,3,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2D076,0,3,0,1,0,0,16,0,10,0,0,0,0,0,0,0,2,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2D077,1,7,0,3,0,0,10,0,12,0,0,0,2,0,0,0,0,45,0,3,0,0,4,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0
2D078,0,19,0,1,0,0,18,0,9,0,0,0,0,0,0,0,0,12,3,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
2S001,0,0,0,0,0,0,1,16,0,1,0,0,0,0,0,0,0,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2S002,0,0,2,2,3,0,0,0,5,0,1,0,1,0,7,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
