,x,y,clay1,clay2,clay3,clay4,valsSlope,valsDem
11134,603116.0253,6158997.945,24.084,31.146,37.924,30.109,0.012323527,378.2972717
11135,603144.3595,6158997.945,24.084,31.146,37.924,30.109,0.010653621,378.5829163
11136,603172.6937,6158997.945,24.084,31.146,37.924,30.109,0.013577861,378.8591919
11137,603201.028,6158997.945,23.735,31.403,39.047,32.36,0.01957419,379.2944031
11138,603229.3622,6158997.945,23.735,31.403,39.047,32.36,0.022709301,379.9259033
11139,603257.6964,6158997.945,23.735,31.403,39.047,32.36,0.020639276,380.550354
11140,603286.0307,6158997.945,23.735,31.403,39.047,32.36,0.01751261,381.0680542
11141,603314.3649,6158997.945,24.086,31.539,38.703,31.307,0.016637472,381.5196838
11142,603342.6991,6158997.945,24.086,31.539,38.703,31.307,0.018828269,381.996582
11143,603371.0334,6158997.945,24.086,31.539,38.703,31.307,0.023221631,382.5759888
11144,603399.3676,6158997.945,24.086,31.539,38.703,31.307,0.028878074,383.2967529
11145,603427.7019,6158997.945,22.972,31.661,40.69,35.696,0.034540277,384.1834412
11146,603456.0361,6158997.945,22.972,31.661,40.69,35.696,0.037294738,385.1931763
11147,603484.3703,6158997.945,22.972,31.661,40.69,35.696,0.037333224,386.1591492
11148,603512.7046,6158997.945,23.083,31.187,39.067,32.295,0.038169455,387.0189209
11149,603541.0388,6158997.945,23.083,31.187,39.067,32.295,0.040561147,387.8440552
11150,603569.373,6158997.945,23.083,31.187,39.067,32.295,0.043197144,388.7133179
11151,603597.7073,6158997.945,23.083,31.187,39.067,32.295,0.044695515,389.6878967
11152,603626.0415,6158997.945,23.362,31.256,38.589,30.822,0.044926684,390.7502136
11153,603654.3757,6158997.945,23.362,31.256,38.589,30.822,0.043742362,391.8796082
11154,603682.71,6158997.945,23.362,31.256,38.589,30.822,0.037556656,393.013916
11155,603711.0442,6158997.945,23.833,31.24,37.641,28.5,0.023325972,393.9032288
11156,603739.3784,6158997.945,23.833,31.24,37.641,28.5,0.008269356,394.31604
11157,603767.7127,6158997.945,23.833,31.24,37.641,28.5,0.016883345,394.2460022
11158,603796.0469,6158997.945,23.833,31.24,37.641,28.5,0.025665835,393.903595
11159,603824.3811,6158997.945,25.269,29.309,30.105,13.296,0.029363958,393.4705811
11160,603852.7154,6158997.945,25.269,29.309,30.105,13.296,0.029489784,393.0500793
11161,603881.0496,6158997.945,25.269,29.309,30.105,13.296,0.026911531,392.6844482
11162,603909.3839,6158997.945,26.513,29.158,27.59,7.5579,0.021664774,392.4112854
11163,603937.7181,6158997.945,26.513,29.158,27.59,7.5579,0.015235205,392.2969971
11164,603966.0523,6158997.945,26.513,29.158,27.59,7.5579,0.00993734,392.3120117
11165,603994.3866,6158997.945,26.513,29.158,27.59,7.5579,0.01301811,392.5297852
11166,604022.7208,6158997.945,23.427,29.961,34.697,23.272,0.03805273,393.0048523
11167,604051.055,6158997.945,23.427,29.961,34.697,23.272,0.063022465,394.2970886
11168,NA,NA,NA,NA,NA,NA,NA,NA
11169,NA,NA,NA,NA,NA,NA,NA,NA
11170,NA,NA,NA,NA,NA,NA,NA,NA
11171,NA,NA,NA,NA,NA,NA,NA,NA
11172,NA,NA,NA,NA,NA,NA,NA,NA
11173,NA,NA,NA,NA,NA,NA,NA,NA
11174,NA,NA,NA,NA,NA,NA,NA,NA
11175,NA,NA,NA,NA,NA,NA,NA,NA
11176,NA,NA,NA,NA,NA,NA,NA,NA
11177,NA,NA,NA,NA,NA,NA,NA,NA
11178,NA,NA,NA,NA,NA,NA,NA,NA
11179,NA,NA,NA,NA,NA,NA,NA,NA
11180,NA,NA,NA,NA,NA,NA,NA,NA
11181,NA,NA,NA,NA,NA,NA,NA,NA
11182,NA,NA,NA,NA,NA,NA,NA,NA
11183,NA,NA,NA,NA,NA,NA,NA,NA
11184,NA,NA,NA,NA,NA,NA,NA,NA
11185,NA,NA,NA,NA,NA,NA,NA,NA
11186,NA,NA,NA,NA,NA,NA,NA,NA
11187,NA,NA,NA,NA,NA,NA,NA,NA
11188,NA,NA,NA,NA,NA,NA,NA,NA
11189,NA,NA,NA,NA,NA,NA,NA,NA
11190,NA,NA,NA,NA,NA,NA,NA,NA
11191,NA,NA,NA,NA,NA,NA,NA,NA
11192,NA,NA,NA,NA,NA,NA,NA,NA
11193,NA,NA,NA,NA,NA,NA,NA,NA
11194,NA,NA,NA,NA,NA,NA,NA,NA
11195,NA,NA,NA,NA,NA,NA,NA,NA
11196,NA,NA,NA,NA,NA,NA,NA,NA
11197,NA,NA,NA,NA,NA,NA,NA,NA
11198,NA,NA,NA,NA,NA,NA,NA,NA
11199,NA,NA,NA,NA,NA,NA,NA,NA
11200,NA,NA,NA,NA,NA,NA,NA,NA
11201,NA,NA,NA,NA,NA,NA,NA,NA
11202,NA,NA,NA,NA,NA,NA,NA,NA
11203,NA,NA,NA,NA,NA,NA,NA,NA
11204,NA,NA,NA,NA,NA,NA,NA,NA
11205,NA,NA,NA,NA,NA,NA,NA,NA
