soil_treatment,training_crop,feedback_crop,replication,shoot_mass_g,root_mass_g,total_mass_g
Control,Canola,Wheat,7,2.5999999999999996,0.2914077669902907,2.8914077669902905
Control,Canola,Wheat,8,2.3600000000000003,0.32941176470588235,2.689411764705883
Control,Canola,Alfalfa,1,0.71,0.3383333333333326,1.0483333333333325
Control,Canola,Alfalfa,2,0.33000000000000007,0.08519999999999944,0.4151999999999995
Control,Canola,Alfalfa,3,0.4899999999999993,0.2530693069306927,0.743069306930692
Control,Canola,Alfalfa,4,0.8599999999999994,0.2616101694915254,1.1216101694915248
Control,Canola,Alfalfa,5,0.3799999999999999,0.13492063492063444,0.5149206349206343
Control,Canola,Alfalfa,6,0.7199999999999998,0.3449999999999995,1.0649999999999993
Control,Canola,Alfalfa,7,0.7599999999999998,0.21503311258278138,0.9750331125827811
Control,Canola,Alfalfa,8,1.0199999999999996,0.5353846153846149,1.5553846153846145
Control,Soybean,Canola,1,2.709999999999999,1.589007981755985,4.2990079817559845
Control,Soybean,Canola,2,3.8,1.1120707964601766,4.912070796460176
Control,Soybean,Canola,3,3.1799999999999997,1.4006451612903223,4.580645161290322
Control,Soybean,Canola,4,4.140000000000001,1.2614390602055803,5.401439060205581
Control,Soybean,Canola,5,2.879999999999999,0.900502793296089,3.7805027932960877
Control,Soybean,Canola,6,3.3499999999999996,1.0284410646387832,4.378441064638783
Control,Soybean,Canola,7,2.919999999999999,1.343686006825939,4.263686006825938
Control,Soybean,Canola,8,3.24,1.1438507462686562,4.3838507462686565
Control,Soybean,Soybean,1,2.99,1.4748514851485142,4.464851485148515
Control,Soybean,Soybean,2,2.829999999999999,1.4645575221238931,4.294557522123892
Control,Soybean,Soybean,3,2.5299999999999994,1.274408352668213,3.8044083526682124
Control,Soybean,Soybean,4,2.4000000000000004,1.2153284671532847,3.615328467153285
Control,Soybean,Soybean,5,2.3199999999999994,0.7645070422535211,3.0845070422535206
Control,Soybean,Soybean,6,1.7400000000000002,0.954999999999999,2.6949999999999994
Control,Soybean,Soybean,7,1.5899999999999999,0.8020333839150222,2.392033383915022
Control,Soybean,Soybean,8,2.1100000000000003,0.9765403624382202,3.0865403624382206
Control,Soybean,Maize,1,3.7300000000000004,2.313944223107569,6.0439442231075695
Control,Soybean,Maize,2,2.6000000000000005,2.482649472450175,5.082649472450175
Control,Soybean,Maize,3,3.3100000000000005,1.7117567567567566,5.021756756756757
Control,Soybean,Maize,4,2.91,2.0986968449931407,5.008696844993141
Control,Soybean,Maize,5,2.34,1.7903481012658227,4.130348101265822
Control,Soybean,Maize,6,2.68,1.9978653976886473,4.677865397688647
Control,Soybean,Maize,7,2.76,1.7915475189234655,4.551547518923465
Control,Soybean,Maize,8,2.48,2.200041987403778,4.6800419874037775
Control,Soybean,Wheat,1,2.1899999999999995,0.46583333333333293,2.6558333333333324
Control,Soybean,Wheat,2,2.62,0.9329629629629624,3.5529629629629627
Control,Soybean,Wheat,3,3.1099999999999994,0.7013986013986012,3.8113986013986008
Control,Soybean,Wheat,4,2.09,0.9657754010695181,3.0557754010695177
Control,Soybean,Wheat,6,2.3500000000000005,0.519516728624535,2.8695167286245358
Control,Soybean,Wheat,7,2.34,0.7124999999999996,3.0524999999999993
Control,Soybean,Wheat,8,2.1999999999999993,0.8402752293577981,3.0402752293577975
Control,Soybean,Alfalfa,1,0.7199999999999998,0.5970695970695971,1.317069597069597
Control,Soybean,Alfalfa,2,0.8199999999999994,1.0377433628318578,1.8577433628318571
Control,Soybean,Alfalfa,3,0.7899999999999991,0.21492857142857136,1.0049285714285705
Control,Soybean,Alfalfa,4,1.0499999999999998,0.6456020942408376,1.6956020942408374
Control,Soybean,Alfalfa,5,0.8699999999999992,0.6143617021276594,1.4843617021276585
Control,Soybean,Alfalfa,6,1.3299999999999992,1.491986644407345,2.8219866444073443
Control,Soybean,Alfalfa,7,0.9100000000000001,0.9946280991735539,1.904628099173554
Control,Soybean,Alfalfa,8,1.0199999999999996,0.9045180722891559,1.9245180722891555
Control,Maize,Canola,1,2.6099999999999994,1.0297569444444439,3.6397569444444433
